691081,0.41,0.46,0.46,0.27,0.19,0.39,0.27,0.45,0.42,0.98,0.18,0.83,0.27,0.83,0.29,0.25,0.96,0.4,0.47,0.22,0.85,0.32,0.26,0.98,0.57,0.56,0.37,0.28,0.33,0.7,0.85,0.45,0.36,0.63,0.26,0.26,0.53,1.0,0.44,0.21,0.67,0.27,0.57,0.35,0.67,0.16,0.59,0.91,0.93,0.33,0.48,0.46,0.46,0.46,0.49,0.41,0.48,0.96,0.18,0.59,0.69,0.47,0.4,0.26,0.34,0.41,0.18,0.59,0.86,0.4,0.44,0.38,0.59,0.89,0.51,0.72,0.52,0.43,0.61,0.46,0.38,0.68,0.83,0.86,0.7,0.41,0.46,0.59,0.52,0.39,0.65,0.59,0.65,0.41,0.35,0.38,0.38,0.44,0.47,1.0,0.48,0.22,0.81,0.33,0.57,0.46,0.12,0.72,0.34,0.42,1.0,1.0,0.59,0.72,0.71,0.42,0.26,0.38,0.63,1.0,0.26,0.57,0.96,0.48,0.51,0.22,0.54,0.44,0.49,0.37,0.42,0.43,0.41,0.28,0.23,0.3,0.58,0.41,1.0,0.98,0.49,0.6,0.49,0.56,0.28,0.99,0.44,0.42,1.0,0.26,0.23,0.33,0.41,0.28,0.64,0.49,0.9,0.43,0.42,0.33,0.33,0.99,0.25,0.62,0.43,0.49,0.51,0.46,0.33,0.44,0.42,0.88,0.47,0.84,0.73,0.27,0.42,0.63,0.26,0.2,0.51,0.41,1.0,0.57,0.27,0.63,0.85,0.28,0.41,0.47,0.2,0.22,0.43,0.56,0.49,0.42,0.41,0.49,0.43,0.48,0.48,0.98,0.59,0.52,0.46
741591,0.38,0.49,0.49,0.2,0.18,0.18,0.26,0.32,0.46,0.28,0.15,0.43,0.19,0.28,0.15,0.19,0.43,0.26,0.46,0.18,0.42,0.14,0.17,0.28,0.58,0.54,0.22,0.56,0.27,0.4,0.42,0.48,0.21,0.29,0.17,0.17,0.24,0.26,0.25,0.15,0.53,0.21,0.57,0.39,0.53,0.11,0.28,0.26,0.42,0.3,0.44,0.25,0.37,0.25,0.27,0.2,0.44,0.43,0.12,0.28,0.92,0.39,0.19,0.21,0.21,0.19,0.14,0.28,0.39,0.26,0.39,0.34,0.47,0.26,0.21,0.24,0.54,0.21,0.3,0.26,0.2,0.41,0.38,0.31,0.22,0.26,0.49,0.28,0.46,0.39,0.24,1.0,0.24,0.17,0.21,0.2,0.33,0.29,0.24,0.26,0.38,0.22,0.42,0.67,0.58,0.2,0.17,0.24,0.17,0.46,0.26,0.26,0.76,0.24,0.28,0.34,0.2,0.2,0.29,0.26,1.0,0.75,0.61,0.59,0.66,0.32,0.7,0.68,0.59,0.68,0.8,0.41,0.88,0.91,0.39,0.66,0.7,0.64,0.59,0.61,0.59,0.66,0.8,0.8,0.36,0.61,0.41,0.64,0.59,0.36,0.32,0.68,0.86,0.91,0.61,0.61,0.59,0.88,0.41,0.36,0.55,0.59,0.36,0.62,0.8,0.62,0.66,0.59,0.55,0.43,0.75,0.59,0.91,0.62,0.62,0.73,0.41,0.66,0.41,0.39,0.7,0.86,0.59,0.66,0.8,0.66,0.61,0.38,0.86,0.62,0.39,0.36,0.82,0.62,0.7,0.8,0.79,0.8,0.86,0.62,0.77,0.61,0.64,0.61,0.61
691201,0.36,0.39,0.39,0.22,0.21,0.23,0.28,0.33,0.48,0.57,0.18,0.76,0.22,0.49,0.17,0.23,0.87,0.29,0.39,0.16,0.87,0.19,0.21,0.57,0.43,0.39,0.28,0.36,0.33,0.91,0.87,0.41,0.27,0.53,0.21,0.21,0.44,0.57,0.27,0.18,0.44,0.24,0.43,0.34,0.44,0.15,0.49,0.53,0.85,0.36,0.3,0.42,0.37,0.29,0.34,0.23,0.3,0.87,0.16,0.49,0.73,0.37,0.24,0.21,0.25,0.25,0.18,0.49,0.78,0.29,0.36,0.33,0.59,0.53,0.31,0.46,0.4,0.24,0.54,0.3,0.23,0.93,0.78,0.49,0.36,0.29,0.39,0.49,0.41,0.47,0.44,0.75,0.44,0.25,0.24,0.23,0.37,0.34,0.42,0.57,0.37,0.24,0.93,0.43,0.43,0.28,0.15,0.46,0.21,0.48,0.57,0.57,0.62,0.46,0.44,0.35,0.22,0.23,0.53,0.57,0.75,1.0,0.64,0.53,0.34,0.25,0.62,0.34,0.32,0.45,0.36,0.44,0.38,0.42,0.23,0.34,0.67,0.32,0.63,0.63,0.34,0.71,0.36,0.37,0.32,0.64,0.44,0.3,0.63,0.27,0.25,0.37,0.37,0.42,0.44,0.32,0.58,0.36,0.42,0.23,0.34,0.63,0.3,0.75,0.34,0.37,0.33,0.33,0.36,0.44,0.32,0.56,0.4,0.64,0.51,0.4,0.42,0.71,0.27,0.22,0.4,0.36,0.63,0.38,0.37,0.71,0.56,0.29,0.36,0.36,0.22,0.26,0.34,0.37,0.38,0.37,0.33,0.36,0.37,0.33,0.4,0.63,0.78,0.64,0.3
750717,0.4,0.48,0.48,0.27,0.19,0.39,0.27,0.51,0.43,0.98,0.18,0.83,0.27,0.92,0.29,0.23,0.96,0.4,0.46,0.2,0.85,0.32,0.26,0.98,0.56,0.54,0.39,0.31,0.33,0.72,0.85,0.46,0.36,0.61,0.26,0.26,0.47,0.96,0.44,0.19,0.69,0.27,0.56,0.36,0.69,0.16,0.44,0.99,0.95,0.32,0.46,0.46,0.47,0.46,0.48,0.41,0.46,0.96,0.16,0.44,0.67,0.47,0.39,0.24,0.34,0.41,0.18,0.44,0.98,0.4,0.42,0.38,0.59,1.0,0.51,0.72,0.51,0.43,0.6,0.46,0.39,0.7,1.0,0.83,0.69,0.4,0.48,0.44,0.53,0.39,0.65,0.61,0.65,0.5,0.35,0.39,0.37,0.44,0.47,0.96,0.47,0.24,0.83,0.37,0.56,0.44,0.14,0.72,0.35,0.43,0.96,0.96,0.57,0.72,0.71,0.42,0.27,0.39,0.61,0.96,0.61,0.64,1.0,0.44,0.47,0.2,0.49,0.44,0.45,0.33,0.41,0.39,0.4,0.28,0.19,0.28,0.55,0.36,0.89,0.98,0.47,0.67,0.42,0.48,0.27,0.91,0.34,0.36,0.89,0.22,0.2,0.3,0.4,0.28,0.55,0.45,0.82,0.39,0.32,0.31,0.31,0.94,0.25,0.65,0.39,0.44,0.47,0.42,0.31,0.41,0.38,0.77,0.43,0.77,0.66,0.26,0.32,0.58,0.24,0.18,0.45,0.41,0.89,0.5,0.27,0.58,0.86,0.24,0.41,0.43,0.18,0.2,0.39,0.5,0.47,0.41,0.36,0.42,0.43,0.44,0.45,0.98,0.57,0.49,0.42
685740,0.33,0.34,0.34,0.24,0.26,0.28,0.26,0.32,0.43,0.48,0.18,0.7,0.22,0.41,0.21,0.27,0.69,0.29,0.35,0.18,0.62,0.2,0.32,0.48,0.4,0.34,0.28,0.31,0.32,0.58,0.62,0.36,0.28,0.68,0.32,0.32,0.69,0.48,0.3,0.15,0.4,0.33,0.4,0.27,0.4,0.17,0.67,0.45,0.67,0.32,0.28,0.44,0.35,0.31,0.36,0.27,0.28,0.69,0.18,0.67,0.65,0.37,0.23,0.21,0.27,0.29,0.19,0.67,0.61,0.29,0.31,0.33,0.6,0.44,0.64,0.44,0.36,0.28,0.46,0.31,0.23,0.57,0.62,0.42,0.41,0.29,0.34,0.67,0.38,0.47,0.43,0.59,0.43,0.38,0.23,0.23,0.39,0.3,0.53,0.48,0.36,0.24,0.63,0.3,0.4,0.29,0.14,0.44,0.21,0.43,0.48,0.48,0.51,0.44,0.38,0.32,0.24,0.23,0.68,0.48,0.59,0.53,0.44,1.0,0.41,0.28,0.48,0.34,0.39,0.43,0.34,0.54,0.36,0.38,0.26,0.41,0.69,0.34,0.44,0.44,0.41,0.44,0.34,0.43,0.3,0.44,0.59,0.39,0.44,0.31,0.28,0.44,0.34,0.38,0.44,0.39,0.44,0.34,0.54,0.31,0.38,0.44,0.34,0.48,0.34,0.38,0.41,0.33,0.38,0.62,0.33,0.41,0.36,0.46,0.48,0.33,0.54,0.44,0.26,0.26,0.43,0.34,0.44,0.44,0.34,0.44,0.41,0.33,0.34,0.43,0.26,0.3,0.34,0.44,0.44,0.36,0.33,0.34,0.36,0.43,0.39,0.44,0.48,0.48,0.39
778953,0.53,0.59,0.59,0.37,0.25,0.39,0.31,0.59,0.37,0.5,0.22,0.46,0.36,0.49,0.39,0.44,0.46,1.0,0.57,0.29,0.42,0.28,0.38,0.5,0.72,0.56,0.46,0.31,0.4,0.37,0.42,0.56,0.49,0.34,0.38,0.38,0.36,0.51,0.75,0.19,0.64,0.33,0.72,0.36,0.64,0.17,0.33,0.47,0.45,0.38,0.49,0.35,0.55,0.79,0.39,0.67,0.49,0.46,0.16,0.33,0.69,0.63,0.42,0.29,0.45,0.43,0.37,0.33,0.42,1.0,0.48,0.44,0.81,0.47,0.31,0.45,0.65,0.78,0.4,0.78,0.43,0.36,0.42,0.55,0.5,0.68,0.59,0.33,0.61,0.53,0.45,0.66,0.45,0.3,0.4,0.43,0.4,0.55,0.4,0.51,0.64,0.39,0.42,0.37,0.72,0.45,0.24,0.45,0.4,0.37,0.51,0.51,0.57,0.45,0.47,0.53,0.34,0.43,0.34,0.51,0.66,0.34,0.47,0.41,1.0,0.36,0.31,0.41,0.69,0.32,0.35,0.2,0.44,0.29,0.21,0.31,0.41,0.44,0.4,0.4,0.73,0.29,0.45,0.46,0.22,0.4,0.19,0.43,0.4,0.28,0.25,0.34,0.44,0.29,0.47,0.58,0.4,0.43,0.19,0.25,0.32,0.4,0.25,0.28,0.44,0.39,0.81,0.54,0.34,0.26,0.34,0.4,0.5,0.42,0.49,0.25,0.19,0.29,0.22,0.22,0.54,0.44,0.4,0.57,0.26,0.29,0.4,0.22,0.44,0.65,0.22,0.26,0.43,0.41,0.55,0.33,0.33,0.46,0.48,0.38,0.46,0.4,0.28,0.32,0.63
779050,0.2,0.21,0.21,0.16,0.35,0.21,0.16,0.22,0.29,0.22,0.25,0.33,0.14,0.22,0.19,0.6,0.33,0.36,0.2,0.24,0.32,0.15,0.47,0.22,0.22,0.22,0.19,0.22,0.36,0.25,0.32,0.2,0.18,0.32,0.47,0.47,0.31,0.22,0.38,0.21,0.25,0.48,0.22,0.21,0.25,0.17,0.31,0.21,0.33,0.26,0.21,0.17,0.19,0.4,0.25,0.32,0.21,0.33,0.15,0.31,0.35,0.23,0.19,0.43,0.18,0.23,1.0,0.31,0.31,0.36,0.21,0.16,0.43,0.2,0.28,0.21,0.2,0.39,0.34,0.4,0.18,0.25,0.3,0.22,0.19,0.32,0.21,0.31,0.2,0.4,0.23,0.32,0.23,0.22,0.17,0.18,0.26,0.19,0.36,0.22,0.25,0.54,0.31,0.27,0.22,0.23,0.24,0.21,0.19,0.29,0.22,0.22,0.32,0.21,0.2,0.21,0.15,0.18,0.32,0.22,0.32,0.25,0.2,0.28,0.36,1.0,0.19,0.21,0.32,0.18,0.16,0.21,0.19,0.14,0.23,0.18,0.16,0.19,0.18,0.18,0.37,0.18,0.21,0.3,0.21,0.18,0.21,0.25,0.18,0.51,0.54,0.21,0.19,0.14,0.26,0.3,0.21,0.14,0.21,0.26,0.3,0.18,0.33,0.19,0.16,0.19,0.4,0.58,0.25,0.21,0.16,0.19,0.32,0.21,0.25,0.14,0.21,0.18,0.16,0.23,0.26,0.19,0.18,0.23,0.14,0.18,0.19,0.28,0.19,0.3,0.23,0.35,0.14,0.19,0.19,0.16,0.14,0.26,0.18,0.14,0.16,0.18,0.19,0.26,0.3
687229,0.35,0.4,0.4,0.22,0.21,0.23,0.28,0.34,0.46,0.54,0.15,0.78,0.22,0.47,0.18,0.23,0.81,0.31,0.41,0.18,0.77,0.19,0.23,0.54,0.48,0.44,0.28,0.39,0.36,0.64,0.77,0.41,0.25,0.53,0.23,0.23,0.44,0.54,0.31,0.19,0.47,0.24,0.48,0.28,0.47,0.13,0.51,0.49,0.8,0.36,0.37,0.28,0.37,0.33,0.44,0.28,0.37,0.81,0.15,0.51,0.78,0.37,0.27,0.24,0.25,0.26,0.19,0.51,0.73,0.31,0.39,0.35,0.59,0.49,0.28,0.39,0.44,0.29,0.54,0.33,0.26,0.62,0.72,0.51,0.36,0.33,0.4,0.51,0.46,0.47,0.41,0.7,0.41,0.28,0.23,0.26,0.39,0.34,0.31,0.54,0.39,0.27,0.73,0.47,0.48,0.28,0.14,0.39,0.25,0.46,0.54,0.54,0.62,0.39,0.44,0.36,0.24,0.26,0.53,0.54,0.7,0.62,0.49,0.48,0.31,0.19,1.0,0.42,0.44,0.56,0.47,0.52,0.45,0.47,0.37,0.44,0.55,0.37,0.71,0.69,0.45,0.73,0.44,0.47,0.37,0.71,0.53,0.42,0.71,0.31,0.35,0.44,0.45,0.47,0.52,0.44,0.61,0.44,0.52,0.29,0.45,0.69,0.37,0.73,0.44,0.4,0.45,0.37,0.45,0.52,0.42,0.65,0.45,0.6,0.61,0.44,0.52,0.74,0.32,0.26,0.5,0.44,0.71,0.55,0.48,0.74,0.63,0.35,0.44,0.45,0.26,0.32,0.44,0.45,0.48,0.47,0.42,0.44,0.45,0.42,0.45,0.69,0.69,0.61,0.42
801695,0.53,0.62,0.62,0.28,0.26,0.3,0.27,0.46,0.49,0.46,0.25,0.46,0.27,0.46,0.24,0.33,0.46,0.41,0.67,0.2,0.42,0.24,0.21,0.46,0.77,0.69,0.33,0.5,0.27,0.37,0.42,0.66,0.33,0.32,0.21,0.21,0.33,0.44,0.38,0.19,0.82,0.24,0.77,0.42,0.82,0.15,0.31,0.44,0.45,0.32,0.55,0.25,0.66,0.38,0.58,0.31,0.55,0.46,0.15,0.31,0.78,0.52,0.29,0.33,0.37,0.38,0.21,0.31,0.42,0.41,0.59,0.51,0.47,0.44,0.28,0.38,0.69,0.32,0.31,0.38,0.33,0.36,0.43,0.48,0.35,0.41,0.62,0.31,0.82,0.33,0.32,0.68,0.32,0.29,0.28,0.33,0.34,0.48,0.29,0.44,0.54,0.37,0.41,0.57,0.77,0.35,0.21,0.38,0.27,0.49,0.44,0.44,0.81,0.38,0.37,0.45,0.28,0.33,0.32,0.44,0.68,0.34,0.44,0.34,0.41,0.21,0.42,1.0,0.35,0.3,0.41,0.2,0.5,0.34,0.18,0.3,0.38,0.51,0.39,0.39,0.48,0.32,0.35,0.61,0.22,0.39,0.21,0.52,0.39,0.22,0.19,0.32,0.57,0.34,0.4,0.35,0.4,0.48,0.2,0.25,0.27,0.39,0.23,0.35,0.48,0.41,0.45,0.37,0.28,0.25,0.39,0.39,0.44,0.39,0.49,0.31,0.2,0.31,0.18,0.18,0.46,0.5,0.39,0.46,0.33,0.31,0.39,0.19,0.5,0.36,0.18,0.19,0.48,0.38,0.51,0.41,0.41,0.35,0.49,0.35,0.57,0.39,0.3,0.3,0.34
779381,0.43,0.44,0.44,0.34,0.35,0.45,0.3,0.42,0.32,0.49,0.16,0.46,0.32,0.48,0.44,0.4,0.46,0.69,0.43,0.27,0.4,0.26,0.38,0.49,0.53,0.51,0.38,0.25,0.49,0.36,0.4,0.44,0.4,0.32,0.38,0.38,0.27,0.49,0.8,0.23,0.58,0.52,0.53,0.35,0.58,0.12,0.31,0.46,0.45,0.3,0.52,0.39,0.41,0.86,0.38,0.79,0.52,0.46,0.15,0.31,0.63,0.49,0.44,0.33,0.35,0.4,0.32,0.31,0.42,0.69,0.38,0.36,0.81,0.45,0.26,0.41,0.48,0.91,0.46,0.84,0.4,0.35,0.42,0.49,0.42,0.51,0.44,0.31,0.45,0.84,0.37,0.59,0.37,0.31,0.44,0.4,0.43,0.41,0.33,0.49,0.52,0.46,0.42,0.27,0.53,0.42,0.21,0.41,0.42,0.32,0.49,0.49,0.57,0.41,0.42,0.43,0.3,0.4,0.32,0.49,0.59,0.32,0.45,0.39,0.69,0.32,0.44,0.35,1.0,0.27,0.31,0.2,0.32,0.22,0.2,0.26,0.43,0.33,0.38,0.38,0.59,0.24,0.33,0.36,0.21,0.38,0.2,0.33,0.38,0.34,0.35,0.3,0.31,0.22,0.41,0.74,0.38,0.31,0.19,0.26,0.35,0.38,0.33,0.23,0.31,0.36,0.62,0.41,0.36,0.29,0.36,0.38,0.42,0.39,0.39,0.18,0.19,0.24,0.18,0.18,0.46,0.31,0.38,0.4,0.2,0.24,0.38,0.23,0.31,0.7,0.18,0.3,0.31,0.38,0.44,0.29,0.29,0.33,0.37,0.38,0.33,0.38,0.24,0.29,0.66
711814,0.36,0.36,0.36,0.41,0.21,0.27,0.34,0.36,0.46,0.35,0.18,0.54,0.38,0.36,0.24,0.23,0.54,0.32,0.39,0.24,0.5,0.18,0.23,0.35,0.42,0.36,0.44,0.31,0.41,0.48,0.5,0.38,0.35,0.34,0.23,0.23,0.29,0.37,0.32,0.21,0.44,0.33,0.43,0.32,0.44,0.14,0.33,0.34,0.56,0.39,0.35,0.32,0.37,0.34,0.29,0.27,0.35,0.54,0.18,0.33,0.71,0.39,0.27,0.26,0.32,0.3,0.18,0.33,0.51,0.32,0.36,0.37,0.6,0.33,0.28,0.31,0.39,0.29,0.4,0.33,0.25,0.46,0.48,0.35,0.26,0.33,0.36,0.33,0.41,0.51,0.3,0.68,0.3,0.2,0.28,0.25,0.73,0.34,0.31,0.37,0.39,0.24,0.53,0.37,0.42,0.32,0.17,0.31,0.25,0.46,0.37,0.37,0.62,0.31,0.32,0.37,0.28,0.25,0.34,0.37,0.68,0.45,0.33,0.43,0.32,0.18,0.56,0.3,0.27,1.0,0.36,0.28,0.37,0.42,0.29,0.7,0.49,0.37,0.42,0.42,0.41,0.42,0.35,0.41,0.33,0.41,0.27,0.35,0.42,0.27,0.25,0.52,0.36,0.42,0.43,0.41,0.42,0.36,0.28,0.27,0.45,0.42,0.28,0.44,0.36,0.45,0.41,0.39,0.5,0.29,0.39,0.42,0.41,0.41,0.44,0.36,0.28,0.42,0.27,0.3,0.53,0.36,0.42,0.5,0.37,0.42,0.42,0.32,0.36,0.41,0.3,0.28,0.36,0.49,0.67,0.35,0.34,0.36,0.39,0.47,0.41,0.42,0.43,0.42,0.39
738186,0.45,0.61,0.61,0.25,0.28,0.29,0.27,0.47,0.46,0.43,0.15,0.43,0.23,0.45,0.24,0.27,0.43,0.35,0.57,0.22,0.4,0.22,0.19,0.43,0.73,0.76,0.3,0.58,0.27,0.37,0.4,0.58,0.29,0.29,0.19,0.19,0.24,0.42,0.4,0.16,0.82,0.21,0.73,0.45,0.82,0.11,0.28,0.43,0.42,0.33,0.61,0.32,0.47,0.39,0.47,0.35,0.61,0.43,0.12,0.28,0.92,0.48,0.29,0.31,0.28,0.3,0.16,0.28,0.42,0.35,0.48,0.39,0.47,0.41,0.21,0.37,0.66,0.34,0.3,0.39,0.31,0.36,0.4,0.48,0.34,0.36,0.61,0.28,0.63,0.37,0.33,0.8,0.33,0.28,0.32,0.31,0.32,0.37,0.24,0.42,0.51,0.29,0.42,0.7,0.73,0.32,0.17,0.37,0.27,0.46,0.42,0.42,0.84,0.37,0.4,0.42,0.24,0.31,0.29,0.42,0.8,0.36,0.41,0.34,0.35,0.16,0.47,0.41,0.31,0.36,1.0,0.27,0.84,0.55,0.29,0.39,0.6,0.61,0.56,0.6,0.55,0.4,0.58,0.61,0.29,0.56,0.29,0.61,0.56,0.29,0.24,0.4,0.79,0.55,0.61,0.55,0.6,0.76,0.27,0.4,0.32,0.56,0.32,0.37,0.85,0.58,0.58,0.52,0.32,0.4,0.69,0.56,0.61,0.56,0.56,0.45,0.27,0.39,0.27,0.26,0.65,0.79,0.56,0.63,0.58,0.39,0.6,0.26,0.79,0.6,0.26,0.27,0.76,0.56,0.65,0.76,0.73,0.61,0.76,0.56,0.69,0.6,0.37,0.34,0.5
765837,0.21,0.24,0.24,0.15,0.19,0.21,0.23,0.24,0.31,0.44,0.21,0.69,0.15,0.34,0.17,0.25,0.67,0.2,0.22,0.2,0.62,0.16,0.3,0.44,0.27,0.27,0.19,0.33,0.29,0.48,0.62,0.23,0.18,1.0,0.3,0.3,0.76,0.43,0.21,0.21,0.31,0.36,0.27,0.2,0.31,0.21,0.87,0.38,0.64,0.22,0.23,0.31,0.2,0.23,0.44,0.21,0.23,0.67,0.23,0.87,0.43,0.21,0.18,0.21,0.17,0.23,0.21,0.87,0.56,0.2,0.24,0.17,0.4,0.39,0.62,0.32,0.25,0.22,0.37,0.23,0.16,0.45,0.57,0.35,0.28,0.22,0.24,0.87,0.25,0.28,0.41,0.41,0.41,0.41,0.21,0.16,0.26,0.17,0.51,0.43,0.25,0.27,0.54,0.37,0.27,0.23,0.15,0.32,0.16,0.31,0.43,0.43,0.43,0.32,0.33,0.21,0.15,0.16,1.0,0.43,0.41,0.44,0.39,0.54,0.2,0.21,0.52,0.2,0.2,0.28,0.27,1.0,0.32,0.29,0.26,0.26,0.53,0.26,0.63,0.58,0.24,0.61,0.42,0.39,0.34,0.66,0.84,0.29,0.63,0.32,0.29,0.29,0.32,0.29,0.34,0.32,0.45,0.26,0.89,0.34,0.34,0.61,0.29,0.61,0.26,0.34,0.26,0.34,0.34,0.92,0.26,0.63,0.45,0.47,0.79,0.32,0.89,0.66,0.29,0.32,0.39,0.32,0.63,0.29,0.29,0.66,0.5,0.42,0.32,0.29,0.32,0.34,0.26,0.34,0.32,0.29,0.26,0.42,0.29,0.29,0.32,0.58,0.55,0.39,0.24
738291,0.68,0.92,0.92,0.31,0.18,0.29,0.27,0.49,0.45,0.43,0.15,0.44,0.29,0.42,0.24,0.27,0.44,0.44,0.81,0.2,0.42,0.22,0.23,0.43,0.86,0.73,0.38,0.58,0.27,0.42,0.42,0.83,0.37,0.32,0.23,0.23,0.27,0.41,0.42,0.15,0.78,0.21,0.86,0.51,0.78,0.11,0.31,0.4,0.44,0.32,0.58,0.35,0.56,0.41,0.47,0.36,0.58,0.44,0.14,0.31,0.88,0.62,0.29,0.26,0.35,0.31,0.19,0.31,0.39,0.44,0.65,0.45,0.47,0.4,0.21,0.37,0.78,0.36,0.3,0.42,0.3,0.39,0.38,0.45,0.34,0.4,0.92,0.31,0.73,0.4,0.42,0.88,0.42,0.27,0.32,0.3,0.32,0.49,0.24,0.41,0.66,0.32,0.41,0.67,0.86,0.32,0.17,0.37,0.28,0.45,0.41,0.41,0.78,0.37,0.39,0.51,0.31,0.3,0.32,0.41,0.88,0.38,0.4,0.36,0.44,0.19,0.45,0.5,0.32,0.37,0.84,0.32,1.0,0.56,0.2,0.34,0.45,0.79,0.43,0.44,0.52,0.35,0.55,0.76,0.19,0.44,0.22,0.61,0.43,0.2,0.19,0.39,0.88,0.56,0.43,0.44,0.43,0.65,0.22,0.29,0.3,0.43,0.19,0.33,0.64,0.46,0.56,0.41,0.31,0.29,0.48,0.43,0.75,0.44,0.54,0.36,0.22,0.35,0.22,0.2,0.67,0.87,0.43,0.59,0.44,0.35,0.44,0.19,0.87,0.42,0.2,0.2,0.66,0.44,0.61,0.52,0.53,0.73,0.67,0.55,0.6,0.44,0.33,0.31,0.4
741462,0.43,0.55,0.55,0.23,0.18,0.2,0.3,0.35,0.49,0.3,0.15,0.46,0.23,0.3,0.18,0.21,0.46,0.29,0.53,0.18,0.43,0.15,0.17,0.3,0.56,0.54,0.24,0.56,0.28,0.43,0.43,0.53,0.25,0.29,0.17,0.17,0.24,0.28,0.3,0.15,0.53,0.21,0.57,0.44,0.53,0.11,0.28,0.29,0.45,0.3,0.48,0.27,0.38,0.3,0.29,0.24,0.48,0.46,0.12,0.28,0.92,0.38,0.19,0.21,0.24,0.2,0.14,0.28,0.42,0.29,0.45,0.37,0.54,0.28,0.21,0.26,0.52,0.26,0.33,0.31,0.21,0.43,0.42,0.34,0.24,0.31,0.55,0.28,0.48,0.42,0.25,0.91,0.25,0.17,0.24,0.21,0.41,0.33,0.24,0.28,0.41,0.22,0.46,0.67,0.56,0.22,0.17,0.26,0.18,0.49,0.28,0.28,0.76,0.26,0.31,0.35,0.23,0.21,0.29,0.28,0.91,0.42,0.28,0.38,0.29,0.14,0.47,0.34,0.22,0.42,0.55,0.29,0.56,1.0,0.35,0.59,0.59,0.64,0.51,0.52,0.54,0.55,0.63,0.77,0.3,0.52,0.35,0.52,0.51,0.33,0.27,0.61,0.73,1.0,0.52,0.55,0.51,0.63,0.34,0.29,0.48,0.51,0.32,0.53,0.66,0.53,0.61,0.54,0.48,0.34,0.63,0.51,0.86,0.53,0.52,0.59,0.34,0.55,0.36,0.34,0.64,0.73,0.51,0.59,0.63,0.55,0.52,0.33,0.73,0.54,0.34,0.32,0.64,0.52,0.63,0.63,0.67,0.73,0.65,0.59,0.61,0.52,0.54,0.52,0.54
776592,0.19,0.21,0.21,0.21,0.26,0.17,0.2,0.23,0.29,0.22,0.28,0.31,0.23,0.2,0.26,0.19,0.33,0.21,0.2,0.35,0.3,0.13,0.26,0.22,0.26,0.27,0.24,0.28,0.2,0.25,0.3,0.2,0.24,0.26,0.26,0.26,0.22,0.23,0.25,0.34,0.27,0.36,0.26,0.2,0.27,0.1,0.26,0.21,0.31,0.36,0.27,0.21,0.2,0.26,0.3,0.22,0.27,0.33,0.15,0.26,0.41,0.23,0.24,0.21,0.24,0.27,0.23,0.26,0.31,0.21,0.2,0.18,0.4,0.19,0.26,0.19,0.24,0.23,0.27,0.26,0.25,0.25,0.28,0.22,0.18,0.24,0.21,0.26,0.26,0.32,0.2,0.39,0.2,0.19,0.26,0.25,0.35,0.24,0.29,0.23,0.25,0.22,0.31,0.33,0.26,0.28,0.43,0.19,0.24,0.29,0.23,0.23,0.38,0.19,0.21,0.21,0.22,0.25,0.26,0.23,0.39,0.23,0.19,0.26,0.21,0.23,0.37,0.18,0.2,0.29,0.29,0.26,0.2,0.35,1.0,0.23,0.21,0.14,0.15,0.15,0.14,0.14,0.14,0.18,0.25,0.14,0.15,0.58,0.15,0.13,0.17,0.15,0.14,0.17,0.23,0.15,0.15,0.14,0.14,0.18,0.21,0.15,0.2,0.14,0.14,0.24,0.15,0.15,0.13,0.17,0.14,0.15,0.17,0.14,0.17,0.15,0.14,0.14,0.25,0.24,0.34,0.14,0.15,0.21,0.14,0.14,0.15,0.15,0.14,0.15,0.24,0.14,0.14,0.2,0.32,0.17,0.14,0.14,0.14,0.17,0.14,0.15,0.14,0.17,0.15
776530,0.38,0.39,0.39,0.44,0.23,0.32,0.45,0.34,0.43,0.3,0.18,0.46,0.5,0.29,0.28,0.29,0.46,0.31,0.39,0.24,0.43,0.17,0.26,0.3,0.43,0.37,0.36,0.33,0.36,0.36,0.43,0.39,0.42,0.26,0.26,0.26,0.22,0.3,0.31,0.18,0.44,0.3,0.44,0.28,0.44,0.12,0.26,0.28,0.45,0.38,0.38,0.28,0.37,0.33,0.22,0.26,0.38,0.46,0.15,0.26,0.71,0.41,0.24,0.31,0.4,0.32,0.18,0.26,0.41,0.31,0.35,0.36,0.59,0.28,0.26,0.29,0.4,0.28,0.36,0.31,0.31,0.35,0.42,0.35,0.25,0.34,0.39,0.26,0.4,0.47,0.28,0.66,0.28,0.18,0.26,0.31,0.73,0.37,0.24,0.3,0.42,0.32,0.41,0.4,0.43,0.35,0.22,0.29,0.22,0.43,0.3,0.3,0.62,0.29,0.38,0.35,0.32,0.31,0.26,0.3,0.66,0.34,0.28,0.41,0.31,0.18,0.44,0.3,0.26,0.7,0.39,0.26,0.34,0.59,0.23,1.0,0.49,0.34,0.36,0.36,0.44,0.38,0.35,0.39,0.31,0.37,0.24,0.36,0.36,0.3,0.22,0.62,0.35,0.42,0.41,0.4,0.36,0.34,0.26,0.25,0.38,0.36,0.3,0.37,0.34,0.4,0.44,0.41,0.42,0.27,0.41,0.36,0.4,0.37,0.38,0.34,0.26,0.38,0.29,0.34,0.59,0.36,0.36,0.47,0.34,0.38,0.36,0.26,0.36,0.43,0.34,0.31,0.34,0.44,0.85,0.34,0.33,0.35,0.42,0.41,0.39,0.36,0.37,0.36,0.41
